,Day,Month,Unnamed: 0,Name,Date,Content,year
603,14,2,831,sunjean故,2019年02月14日 23:00  来自 HUAWEI P20,生活 有仪式感之 早上  收到一束美美 花 中午带回家放 鞋柜上 吃过午饭 给👶换个尿 湿 时间 婆婆把花给拆  放  花瓶  像插画师一样摆弄 一会 以后还 和王先森 直接买花 用包 省 回来婆婆还 拆 弄 好多 需  塑料纸下午定于 点半 会议提前到,2019
604,14,2,833,Miss_you2013,2019年02月14日 22:10  来自 iPhone客户端,空调 起作用冻成狗🐶回来宾馆空调抽风还冻成狗🐶  注定 只狗🐶,2019
605,14,2,834,又一抹阳光sunshine,2019年02月14日 22:08  来自 荣耀8青春版 颜值担当,从仓库 地搬到二楼 ， 面有暖暖 空调，干净整洁  桌，无杂音 环境， 用上夜班，哈，又可以学到新东西，虽然有点复杂且难，好多 数据表格什么 ，但 很自由，  很开心 ，  吧，左边 仓库主管，对面 配送主管，左斜对面 车队主管，右斜对面 配送经理，每天面对面， 还,2019
606,14,2,835,逝川,2019年02月14日 21:45  来自 微博 weibo.com,有人   “世界癫痫 ”，经查证这 误传，但 过得确实够癫狂，几乎 符合情人节 设定 早晨做 个特别 应景 梦，梦到某大V召开沙龙，乐颠颠去 ，地点 类似北京 那种艺术空间，没想到 场 大v和他朋友两男 高谈阔论 没多久 发生 一场小火灾 救火时，大V顺嘴问  两句人生认识之类,2019
607,14,2,836,考拉要一直努力,2019年02月14日 19:48  来自 iPhone客户端,小李     去过  ？   怎么知道？ 去关 空调 小李  一股  香水味 PS  现   精致 猪猪女孩 吗？,2019
608,14,2,839,逐渐长成反派,2019年02月14日 16:54  来自 宝贝儿的Android,因为笼罩 裁员 阴影下， 有种行走 荒山 饥寒交迫地感觉  分裂人格 号 谁 前  ，回来领 钱 辞职 ？        分裂人格 号 所以， 还怕失业？再 ， 哪 饥寒交迫， 空调这么暖和   那可能  主   现 饿 ，有点小情绪而已,2019
609,14,2,840,回忆的结点,2019年02月14日 16:49  来自 Android,有人约 看电影，被 义正言辞 拒绝 ，还有现  开 制冷模式，为 排空调污水，哈x,2019
610,14,2,841,瀚空间,2019年02月14日 16:41  来自 iPhone,- 平  含 老板间  中央空调 地暖 超大玻璃窗 百兆网络 食堂 地面停车场 库房 前台 正常注册 海淀区 北京随手拍 北京写字楼宇租赁 海淀区,2019
611,14,2,842,inChloe_Mlle,2019年02月14日 16:23  来自 HUAWEI P20,小小  中，   知 哪位男士多 未洗头，空调一开，整个 中弥漫 一股至少 星期没洗头 油头味 从上午开始 深深怀疑，以为 自己 头 冬天居然能有夏天连续骑动感单车一小时  曾有过 味道  已经闻 一天,2019
612,14,2,843,就和我聊天吧,2019年02月14日 16:15  来自 iPhone客户端,坐 空调和暖风机同时开    ，有一种对能够少穿一点儿衣服 天气既盼望又惧怕 心情,2019
613,14,2,844,浮云失格,2019年02月14日 16:00  来自 iPhone客户端,空调太暖和 ，烘得人昏昏欲睡,2019
